Agent,Score,Criterion
Claude_Code,5,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,1,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,5,Rationale Clarity
Claude_Code,2,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Claude_Code,3,Rationale Clarity
Claude_Code,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,3,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,5,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
Copilot,4,Rationale Clarity
